# ----------------------------------------
# gd-math-71c48
# New Drops Impacts Study Using Copiolot-Cohort exploration 1
# 20251020-20260311
# ----------------------------------------

Weekly cohort,Cohort,Cohort total users,Active users,Active users / Cohort total users
0000,20260308-20260311,RESERVED_TOTAL,163,163,1
0000,20260308-20260311,date_range_0,163,163,1
0000,20251130-20251206,RESERVED_TOTAL,219,219,1
0000,20251130-20251206,date_range_0,219,219,1
0000,20251123-20251129,RESERVED_TOTAL,247,247,1
0000,20251123-20251129,date_range_0,247,247,1
0000,20251116-20251122,RESERVED_TOTAL,252,252,1
0000,20251116-20251122,date_range_0,252,252,1
0000,20251020-20251025,RESERVED_TOTAL,263,263,1
0000,20251020-20251025,date_range_0,263,263,1
0000,20251109-20251115,RESERVED_TOTAL,286,286,1
0000,20251109-20251115,date_range_0,286,286,1
0000,20251207-20251213,RESERVED_TOTAL,298,298,1
0000,20251207-20251213,date_range_0,298,298,1
0000,20251214-20251220,RESERVED_TOTAL,307,307,1
0000,20251214-20251220,date_range_0,307,307,1
0000,20251026-20251101,RESERVED_TOTAL,314,314,1
0000,20251026-20251101,date_range_0,314,314,1
0000,20251102-20251108,RESERVED_TOTAL,315,315,1
0000,20251102-20251108,date_range_0,315,315,1
0000,20251221-20251227,RESERVED_TOTAL,316,316,1
0000,20251221-20251227,date_range_0,316,316,1
0000,20260222-20260228,RESERVED_TOTAL,347,347,1
0000,20260222-20260228,date_range_0,347,347,1
0000,20251228-20260103,RESERVED_TOTAL,377,377,1
0000,20251228-20260103,date_range_0,377,377,1
0000,20260208-20260214,RESERVED_TOTAL,377,377,1
0000,20260208-20260214,date_range_0,377,377,1
0000,20260301-20260307,RESERVED_TOTAL,381,381,1
0000,20260301-20260307,date_range_0,381,381,1
0000,20260201-20260207,RESERVED_TOTAL,397,397,1
0000,20260201-20260207,date_range_0,397,397,1
0000,20260215-20260221,RESERVED_TOTAL,400,400,1
0000,20260215-20260221,date_range_0,400,400,1
0000,20260111-20260117,RESERVED_TOTAL,404,404,1
0000,20260111-20260117,date_range_0,404,404,1
0000,20260104-20260110,RESERVED_TOTAL,432,432,1
0000,20260104-20260110,date_range_0,432,432,1
0000,20260125-20260131,RESERVED_TOTAL,432,432,1
0000,20260125-20260131,date_range_0,432,432,1
0000,20260118-20260124,RESERVED_TOTAL,436,436,1
0000,20260118-20260124,date_range_0,436,436,1
0000,RESERVED_TOTAL,RESERVED_TOTAL,6963,7007,1.0063191153238547
0000,RESERVED_TOTAL,date_range_0,6963,7007,1.0063191153238547
0001,20251130-20251206,RESERVED_TOTAL,219,44,0.2009132420091324
0001,20251130-20251206,date_range_0,219,44,0.2009132420091324
0001,20251123-20251129,RESERVED_TOTAL,247,53,0.2145748987854251
0001,20251123-20251129,date_range_0,247,53,0.2145748987854251
0001,20251116-20251122,RESERVED_TOTAL,252,45,0.17857142857142858
0001,20251116-20251122,date_range_0,252,45,0.17857142857142858
0001,20251020-20251025,RESERVED_TOTAL,263,49,0.18631178707224336
0001,20251020-20251025,date_range_0,263,49,0.18631178707224336
0001,20251109-20251115,RESERVED_TOTAL,286,47,0.16433566433566432
0001,20251109-20251115,date_range_0,286,47,0.16433566433566432
0001,20251207-20251213,RESERVED_TOTAL,298,50,0.16778523489932887
0001,20251207-20251213,date_range_0,298,50,0.16778523489932887
0001,20251214-20251220,RESERVED_TOTAL,307,61,0.1986970684039088
0001,20251214-20251220,date_range_0,307,61,0.1986970684039088
0001,20251026-20251101,RESERVED_TOTAL,314,59,0.18789808917197454
0001,20251026-20251101,date_range_0,314,59,0.18789808917197454
0001,20251102-20251108,RESERVED_TOTAL,315,58,0.18412698412698414
0001,20251102-20251108,date_range_0,315,58,0.18412698412698414
0001,20251221-20251227,RESERVED_TOTAL,316,51,0.16139240506329114
0001,20251221-20251227,date_range_0,316,51,0.16139240506329114
0001,20260222-20260228,RESERVED_TOTAL,347,50,0.1440922190201729
0001,20260222-20260228,date_range_0,347,50,0.1440922190201729
0001,20260208-20260214,RESERVED_TOTAL,377,64,0.16976127320954906
0001,20260208-20260214,date_range_0,377,64,0.16976127320954906
0001,20251228-20260103,RESERVED_TOTAL,377,73,0.19363395225464192
0001,20251228-20260103,date_range_0,377,73,0.19363395225464192
0001,20260301-20260307,RESERVED_TOTAL,381,47,0.12335958005249344
0001,20260301-20260307,date_range_0,381,47,0.12335958005249344
0001,20260201-20260207,RESERVED_TOTAL,397,63,0.15869017632241814
0001,20260201-20260207,date_range_0,397,63,0.15869017632241814
0001,20260215-20260221,RESERVED_TOTAL,400,74,0.185
0001,20260215-20260221,date_range_0,400,74,0.185
0001,20260111-20260117,RESERVED_TOTAL,404,58,0.14356435643564355
0001,20260111-20260117,date_range_0,404,58,0.14356435643564355
0001,20260104-20260110,RESERVED_TOTAL,432,69,0.1597222222222222
0001,20260104-20260110,date_range_0,432,69,0.1597222222222222
0001,20260125-20260131,RESERVED_TOTAL,432,80,0.18518518518518517
0001,20260125-20260131,date_range_0,432,80,0.18518518518518517
0001,20260118-20260124,RESERVED_TOTAL,436,76,0.1743119266055046
0001,20260118-20260124,date_range_0,436,76,0.1743119266055046
0001,RESERVED_TOTAL,RESERVED_TOTAL,6800,1171,0.17220588235294118
0001,RESERVED_TOTAL,date_range_0,6800,1171,0.17220588235294118
0002,20251130-20251206,RESERVED_TOTAL,219,15,0.0684931506849315
0002,20251130-20251206,date_range_0,219,15,0.0684931506849315
0002,20251123-20251129,RESERVED_TOTAL,247,18,0.0728744939271255
0002,20251123-20251129,date_range_0,247,18,0.0728744939271255
0002,20251116-20251122,RESERVED_TOTAL,252,31,0.12301587301587301
0002,20251116-20251122,date_range_0,252,31,0.12301587301587301
0002,20251020-20251025,RESERVED_TOTAL,263,27,0.10266159695817491
0002,20251020-20251025,date_range_0,263,27,0.10266159695817491
0002,20251109-20251115,RESERVED_TOTAL,286,20,0.06993006993006994
0002,20251109-20251115,date_range_0,286,20,0.06993006993006994
0002,20251207-20251213,RESERVED_TOTAL,298,21,0.07046979865771812
0002,20251207-20251213,date_range_0,298,21,0.07046979865771812
0002,20251214-20251220,RESERVED_TOTAL,307,32,0.10423452768729642
0002,20251214-20251220,date_range_0,307,32,0.10423452768729642
0002,20251026-20251101,RESERVED_TOTAL,314,21,0.06687898089171974
0002,20251026-20251101,date_range_0,314,21,0.06687898089171974
0002,20251102-20251108,RESERVED_TOTAL,315,26,0.08253968253968254
0002,20251102-20251108,date_range_0,315,26,0.08253968253968254
0002,20251221-20251227,RESERVED_TOTAL,316,24,0.0759493670886076
0002,20251221-20251227,date_range_0,316,24,0.0759493670886076
0002,20260222-20260228,RESERVED_TOTAL,347,18,0.05187319884726225
0002,20260222-20260228,date_range_0,347,18,0.05187319884726225
0002,20260208-20260214,RESERVED_TOTAL,377,43,0.11405835543766578
0002,20260208-20260214,date_range_0,377,43,0.11405835543766578
0002,20251228-20260103,RESERVED_TOTAL,377,45,0.11936339522546419
0002,20251228-20260103,date_range_0,377,45,0.11936339522546419
0002,20260201-20260207,RESERVED_TOTAL,397,26,0.0654911838790932
0002,20260201-20260207,date_range_0,397,26,0.0654911838790932
0002,20260215-20260221,RESERVED_TOTAL,400,39,0.0975
0002,20260215-20260221,date_range_0,400,39,0.0975
0002,20260111-20260117,RESERVED_TOTAL,404,29,0.07178217821782178
0002,20260111-20260117,date_range_0,404,29,0.07178217821782178
0002,20260104-20260110,RESERVED_TOTAL,432,38,0.08796296296296297
0002,20260104-20260110,date_range_0,432,38,0.08796296296296297
0002,20260125-20260131,RESERVED_TOTAL,432,52,0.12037037037037036
0002,20260125-20260131,date_range_0,432,52,0.12037037037037036
0002,20260118-20260124,RESERVED_TOTAL,436,44,0.10091743119266056
0002,20260118-20260124,date_range_0,436,44,0.10091743119266056
0002,RESERVED_TOTAL,RESERVED_TOTAL,6419,569,0.08864309082411591
0002,RESERVED_TOTAL,date_range_0,6419,569,0.08864309082411591
0003,20251130-20251206,RESERVED_TOTAL,219,14,0.0639269406392694
0003,20251130-20251206,date_range_0,219,14,0.0639269406392694
0003,20251123-20251129,RESERVED_TOTAL,247,15,0.06072874493927125
0003,20251123-20251129,date_range_0,247,15,0.06072874493927125
0003,20251116-20251122,RESERVED_TOTAL,252,20,0.07936507936507936
0003,20251116-20251122,date_range_0,252,20,0.07936507936507936
0003,20251020-20251025,RESERVED_TOTAL,263,19,0.07224334600760456
