# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime
,,1107,0,0,36779,7156,5.139603130240357,0,744,281875,60.30701754385965,23726,23144,5.076166024818143,0.0025418114112728506,597,60069,45.81922196796339,6888,3117,5.254004576659039,0.006652035709634638,1107,341944,26.021155163229587,67393,33417,5.1284529335667,0.0003861106518960365,Grand total
simpleIdentificationVegetablesSet2AL,training,448,0,0,5080,1016,5,0,332,31865,57.518050541516246,2770,2770,5,0.020764639184662904,164,10569,39.58426966292135,1335,635,5,0.029651138324285654,448,42434,23.09961894393032,9185,4421,5,0.0025149285731007427
simpleIdentificationVegetablesSet2AL,speedrun,332,0,0,2770,554,5,0,272,19036,47.59,2000,1882,5,0.023795,53,1817,27.53030303030303,330,190,5,0.08342516069788797,332,20853,20.444117647058825,5100,2626,5,0.004008650519031142
simpleIdentificationToysSet22AL,training,259,0,0,1840,368,5,0,205,13174,51.06201550387597,1290,1290,5,0.03958295775494262,50,2159,42.333333333333336,255,140,5,0.16601307189542483,259,15333,22.648449039881832,3385,1798,5,0.006690826895090644
simpleIdentificationToysSet22AL,speedrun,205,0,0,1290,258,5,0,183,8405,37.690582959641254,1115,1021,5,0.03380321341671862,15,216,14.4,75,32,5,0.192,205,8621,17.381048387096776,2480,1311,5,0.007008487252861602
stackVegetablesAndFruitsOverall2AL,training,170,0,0,2255,451,5,0,124,17851,77.95196506550218,1145,1145,5,0.06808031883449972,81,4751,32.765517241379314,725,296,5,0.04519381688466112,170,22602,27.396363636363635,4125,1892,5,0.006641542699724518
stackColorTilesSet1And22AL,training,163,0,0,960,192,5,0,130,8688,59.91724137931035,725,725,5,0.08264447086801427,27,1721,61.464285714285715,140,77,5,0.439030612244898,163,10409,28.517808219178082,1825,994,5,0.015626196284481142
matchNumberCount1to72AL,training,134,0,0,1680,336,5,0,82,13986,105.15789473684211,665,665,5,0.15813217253660466,58,6965,66.97115384615384,520,251,5,0.12879068047337278,134,20951,36.56369982547993,2865,1252,5,0.012762198891965072
stackColorTilesSet1And22AL,speedrun,130,0,0,725,145,5,0,118,6200,48.818897637795274,635,610,5,0.07688015376030752,6,162,27,30,19,5,0.9,130,6362,22.884892086330936,1390,774,5,0.016463951141245277
stackVegetablesAndFruitsOverall2AL,speedrun,124,0,0,1125,225,5,0,106,8760,50.63583815028902,865,804,5,0.05853854121420696,22,662,25.46153846153846,130,67,5,0.19585798816568045,124,9422,22.221698113207548,2120,1096,5,0.01048193307226771
matchObjectWithFraction1AL,training,118,0,0,1644,274,6,0,72,8821,70.0079365079365,756,756,6,0.09260309061896363,47,2491,27.98876404494382,534,202,6,0.05241341581450154,118,11312,23.132924335378323,2934,1232,6,0.007884432288813335
stackMultiStick1To52AL,training,103,0,0,820,164,5,0,97,7403,52.878571428571426,700,700,5,0.0755408163265306,8,689,62.63636363636363,55,36,5,1.1388429752066116,103,8092,25.68888888888889,1575,900,5,0.01631040564373898
matchObjectSetFirst2AL,training,111,0,0,605,121,5,0,82,3989,46.92941176470588,425,425,5,0.11042214532871973,13,305,23.46153846153846,65,37,5,0.3609467455621302,111,4294,19.60730593607306,1095,583,5,0.017906215466733388
stackMultiStick1To52AL,speedrun,97,0,0,715,143,5,0,87,4690,40.085470085470085,585,544,5,0.06852217108627365,9,381,29.307692307692307,65,42,5,0.450887573964497,97,5071,18.575091575091577,1365,729,5,0.013608125696037785
orderUpToSevenNumber2AL,training,77,0,0,995,199,5,0,67,6912,55.74193548387097,620,620,5,0.08990634755463059,26,3878,92.33333333333333,210,71,5,0.4396825396825396,77,10790,29.561643835616437,1825,890,5,0.016198161005817228
simpleIdentificationAnimalsSet1And22AL,training,85,0,0,535,107,5,0,75,3976,43.69230769230769,455,455,5,0.09602704987320371,7,222,31.714285714285715,35,15,5,0.9061224489795918,85,4198,20.478048780487804,1025,577,5,0.019978584176085664
matchObjectSetFirst2AL,speedrun,82,0,0,435,87,5,0,75,3311,41.91139240506329,395,375,5,0.10610479089889441,3,68,22.666666666666668,15,6,5,1.511111111111111,82,3379,19.994082840236686,845,468,5,0.023661636497321524
matchNumberCount1to72AL,speedrun,82,0,0,665,133,5,0,66,7773,78.51515151515152,495,470,5,0.1586164677073768,10,353,32.09090909090909,55,30,5,0.5834710743801653,82,8126,33.440329218106996,1215,633,5,0.0275229047062609
stackingDifferentPairsOfSameValue202AL,training,76,0,0,1000,200,5,0,47,7662,86.08988764044943,445,445,5,0.1934604216639313,35,3592,57.01587301587302,315,106,5,0.18100277147896196,76,11254,31.97159090909091,1760,751,5,0.01816567665289256
simpleIdentificationAnimalsSet1And22AL,speedrun,75,0,0,460,92,5,0,67,3376,41.170731707317074,410,390,5,0.10041641879833432,2,73,36.5,10,6,5,3.65,75,3449,19.59659090909091,880,488,5,0.022268853305785125
matchObjectWithFraction1AL,speedrun,72,0,0,756,126,6,0,54,4217,45.83695652173913,552,545,6,0.08303796471329553,11,523,30.764705882352942,102,57,6,0.30161476355247985,72,4740,20.170212765957448,1410,728,6,0.014305115436849253
orderUpToSevenNumber2AL,speedrun,67,0,0,620,124,5,0,53,3529,37.54255319148936,470,461,5,0.07987777274784971,15,371,21.823529411764707,85,39,5,0.25674740484429065,67,3900,16.595744680851062,1175,624,5,0.014124038026256225
stackUtensilsVehicles2AL,training,65,0,0,400,80,5,0,54,4013,66.88333333333334,300,300,5,0.22294444444444445,8,377,37.7,50,27,5,0.754,65,4390,29.266666666666666,750,407,5,0.03902222222222222
stackMultiStickInMultiSlot1To52AL,training,63,0,0,455,91,5,0,36,8167,194.45238095238096,210,210,5,0.9259637188208617,21,1790,74.58333333333333,120,64,5,0.6215277777777778,63,9957,63.4203821656051,785,365,5,0.08079029575236318
matchActivitiesWithObject2AL,training,61,0,0,1200,120,10,0,25,3860,133.10344827586206,290,290,10,0.4589774078478002,25,2481,51.6875,480,179,10,0.10768229166666667,61,6341,32.18781725888325,1970,589,10,0.016338993532428046
stackUtensilsVehicles2AL,speedrun,54,0,0,300,60,5,0,51,2388,43.41818181818182,275,254,5,0.15788429752066116,4,127,31.75,20,15,5,1.5875,54,2515,21.134453781512605,595,329,5,0.035520090389096814
mergeNumberUpTo9WithBAsTwoAL,training,51,0,0,352,88,4,0,27,4279,129.66666666666666,132,132,4,0.9823232323232323,26,4269,121.97142857142858,140,62,4,0.8712244897959184,51,8548,54.794871794871796,624,282,4,0.08781229454306377
simpleIdentifyApparelAndStationery2AL,training,47,0,0,250,50,5,0,38,1560,39,200,200,5,0.195,7,224,32,35,17,5,0.9142857142857144,47,1784,18.391752577319586,485,267,5,0.03792113933467956
stackingDifferentPairsOfSameValue202AL,speedrun,47,0,0,445,89,5,0,39,3410,52.46153846153846,325,290,5,0.16142011834319528,5,248,41.333333333333336,30,19,5,1.377777777777778,47,3658,22.8625,800,398,5,0.028578125
