# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,,Segment,Production Only,Totals
,,Event name,segmentCompleted,Totals
,,type,assessment,Totals
currentSkillAge,segment,status,Total users,Total users
,,,744,744,Grand total
2 Y,training,pass,453,453
2 Y,speedrun,pass,347,347
2 Y,speedrun,fail,144,144
3 Y,training,pass,84,84
4 Y,training,pass,70,70
10 Y,training,pass,65,65
3 Y,speedrun,pass,57,57
4 Y,speedrun,pass,53,53
10 Y,speedrun,pass,48,48
5 Y,training,pass,47,47
5 Y,speedrun,pass,35,35
3 Y,speedrun,fail,31,31
6 Y,training,pass,20,20
5 Y,speedrun,fail,19,19
4 Y,speedrun,fail,16,16
6 Y,speedrun,pass,16,16
8 Y,training,pass,13,13
8 Y,speedrun,pass,12,12
10 Y,speedrun,fail,9,9
7 Y,training,pass,6,6
9 Y,training,pass,6,6
6 Y,speedrun,fail,5,5
7 Y,speedrun,pass,5,5
9 Y,speedrun,pass,5,5
7 Y,speedrun,fail,3,3

