# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount
,,1155,0,0,55277,9529,5.800923496694302,778,374107,60.55471026222078,34403,32385,5.568630624797669,654,87213,48.5055617352614,11198,4564,6.2280311457174635,1155,461320,26.353613253356183,100878,46478,5.762810625535561,Grand total
simpleIdentificationVegetablesSet2AL,training,448,0,0,5080,1016,5,332,31865,57.518050541516246,2770,2770,5,164,10569,39.58426966292135,1335,635,5,448,42434,23.09961894393032,9185,4421,5
simpleIdentificationVegetablesSet2AL,speedrun,332,0,0,2770,554,5,272,19036,47.59,2000,1882,5,53,1817,27.53030303030303,330,190,5,332,20853,20.444117647058825,5100,2626,5
simpleIdentificationToysSet22AL,training,259,0,0,1840,368,5,205,13174,51.06201550387597,1290,1290,5,50,2159,42.333333333333336,255,140,5,259,15333,22.648449039881832,3385,1798,5
simpleIdentificationToysSet22AL,speedrun,205,0,0,1290,258,5,183,8405,37.690582959641254,1115,1021,5,15,216,14.4,75,32,5,205,8621,17.381048387096776,2480,1311,5
stackVegetablesAndFruitsOverall2AL,training,170,0,0,2255,451,5,124,17851,77.95196506550218,1145,1145,5,81,4751,32.765517241379314,725,296,5,170,22602,27.396363636363635,4125,1892,5
stackColorTilesSet1And22AL,training,163,0,0,960,192,5,130,8688,59.91724137931035,725,725,5,27,1721,61.464285714285715,140,77,5,163,10409,28.517808219178082,1825,994,5
matchNumberCount1to72AL,training,134,0,0,1680,336,5,82,13986,105.15789473684211,665,665,5,58,6965,66.97115384615384,520,251,5,134,20951,36.56369982547993,2865,1252,5
mergeExample,training,133,0,0,142,142,1,133,790,5.766423357664234,137,137,1,4,11,2.2,5,5,1,133,801,2.8204225352112675,284,284,1
introLevelStack,training,134,0,0,145,145,1,133,788,5.549295774647887,142,142,1,0,0,0,0,0,0,134,788,2.745644599303136,287,287,1
stackColorTilesSet1And22AL,speedrun,130,0,0,725,145,5,118,6200,48.818897637795274,635,610,5,6,162,27,30,19,5,130,6362,22.884892086330936,1390,774,5
stackVegetablesAndFruitsOverall2AL,speedrun,124,0,0,1125,225,5,106,8760,50.63583815028902,865,804,5,22,662,25.46153846153846,130,67,5,124,9422,22.221698113207548,2120,1096,5
matchObjectWithFraction1AL,training,118,0,0,1644,274,6,72,8821,70.0079365079365,756,756,6,47,2491,27.98876404494382,534,202,6,118,11312,23.132924335378323,2934,1232,6
stackMultiStick1To52AL,training,103,0,0,820,164,5,97,7403,52.878571428571426,700,700,5,8,689,62.63636363636363,55,36,5,103,8092,25.68888888888889,1575,900,5
matchObjectSetFirst2AL,training,111,0,0,605,121,5,82,3989,46.92941176470588,425,425,5,13,305,23.46153846153846,65,37,5,111,4294,19.60730593607306,1095,583,5
stackMultiStick1To52AL,speedrun,97,0,0,715,143,5,87,4690,40.085470085470085,585,544,5,9,381,29.307692307692307,65,42,5,97,5071,18.575091575091577,1365,729,5
orderUpToSevenNumber2AL,training,77,0,0,995,199,5,67,6912,55.74193548387097,620,620,5,26,3878,92.33333333333333,210,71,5,77,10790,29.561643835616437,1825,890,5
simpleIdentificationAnimalsSet1And22AL,training,85,0,0,535,107,5,75,3976,43.69230769230769,455,455,5,7,222,31.714285714285715,35,15,5,85,4198,20.478048780487804,1025,577,5
matchObjectSetFirst2AL,speedrun,82,0,0,435,87,5,75,3311,41.91139240506329,395,375,5,3,68,22.666666666666668,15,6,5,82,3379,19.994082840236686,845,468,5
matchNumberCount1to72AL,speedrun,82,0,0,665,133,5,66,7773,78.51515151515152,495,470,5,10,353,32.09090909090909,55,30,5,82,8126,33.440329218106996,1215,633,5
