# ----------------------------------------
# gd-math-71c48
# New-Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals
Event name,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals
type,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,Totals,Totals,Totals
levelID,Total users,Event count,boardIndex,Total users,Event count,boardIndex,Total users,Event count,boardIndex,Total users,Event count,boardIndex
,1107,7154,7154,744,4674,23144,597,1311,3117,1107,13139,33415,Grand total
simpleIdentificationVegetablesSet2AL,448,1570,1570,332,954,4652,192,333,825,448,2857,7047
simpleIdentificationToysSet22AL,259,626,626,205,481,2311,63,66,172,259,1173,3109
stackVegetablesAndFruitsOverall2AL,170,676,676,124,402,1949,90,171,363,170,1249,2988
stackColorTilesSet1And22AL,163,337,337,130,272,1335,32,34,96,163,643,1768
matchNumberCount1to72AL,134,469,469,82,232,1135,61,115,281,134,816,1885
matchObjectWithFraction1AL,118,400,400,72,218,1301,49,106,259,118,724,1960
stackMultiStick1To52AL,103,307,307,97,257,1244,14,24,78,103,588,1629
matchObjectSetFirst2AL,111,208,208,82,164,800,16,16,43,111,388,1051
orderUpToSevenNumber2AL,77,323,323,67,218,1081,32,59,110,77,600,1514
simpleIdentificationAnimalsSet1And22AL,85,199,199,75,173,845,9,9,21,85,381,1065
stackingDifferentPairsOfSameValue202AL,76,289,289,47,154,735,36,69,125,76,512,1149
stackUtensilsVehicles2AL,65,140,140,54,115,554,12,14,42,65,269,736
stackMultiStickInMultiSlot1To52AL,63,133,133,36,69,328,25,29,77,63,231,538
matchActivitiesWithObject2AL,61,149,149,25,48,463,27,51,202,61,248,814
mergeNumberUpTo9WithBAsTwoAL,51,121,121,27,60,226,26,40,70,51,221,417
simpleIdentifyApparelAndStationery2AL,47,90,90,38,76,376,9,9,25,47,175,491
fractionMultiplication6AL,49,132,132,30,82,487,12,25,51,49,239,670
smallBigFrom1To99NumbersAL,44,119,119,20,54,266,23,34,61,44,207,446
subtractionMissingAUpTo20AL,38,100,100,27,73,353,7,8,13,38,181,466
sortRedGreenYellowWhiteBlackGray2AL,32,61,61,27,52,253,3,3,12,32,116,326
writeLevelSimpleLine2AL,25,50,50,22,41,205,5,7,16,25,98,271
numbersFrom500To999AL,30,60,60,5,11,54,14,28,46,30,99,160
matrixMultiplicationRandomNumbers3AL,26,51,51,12,32,160,10,10,25,26,93,236
matchShapesByObjects2AL,24,45,45,21,41,201,2,2,6,24,88,252
summarizeTheSentences1AL,24,79,79,13,44,176,10,17,24,24,140,279
dataHandlingIconsBirdsAnimals2AL,23,59,59,20,54,159,3,3,4,23,116,222
missingBRandomAAndB50To99AL,17,40,40,16,29,145,5,6,18,17,75,203
writeLevel1To52AL,19,37,37,18,34,170,1,1,5,19,72,212
stackTensAndOnes20UpTo502AL,17,43,43,16,36,175,0,0,0,17,79,218
smallBigUpTo50Number2AL,13,31,31,11,27,132,1,1,4,13,59,167
matchEdgesCorners22AL,11,24,24,11,23,109,1,1,5,11,48,138
fillSubtractionStaticB3UpTo52AL,10,20,20,8,18,54,1,1,1,10,39,75
placeValueMatrix1AL,10,31,31,8,25,100,1,1,1,10,57,132
reviseDivideTable8And9AL,9,21,21,8,17,170,2,2,4,9,40,195
givenSmartChartScale6AL,9,17,17,5,10,60,4,5,8,9,32,85
groupAdditionOf5AL,9,18,18,8,15,73,1,1,2,9,34,93
patternBasicFoods2AL,9,19,19,8,17,85,1,1,2,9,37,106
cowBananaTable4AL,8,14,14,6,12,60,1,1,2,8,27,76
numberDiceMatching2AL,8,14,14,6,12,58,1,1,2,8,27,74
descendingOrdering1to999by50AL,6,9,9,3,6,29,2,2,2,6,17,40
matchFractionWithImage4AL,5,10,10,5,9,45,1,1,2,5,20,57
greaterSmallerUpTo999OperatorsAL,5,7,7,2,3,15,3,3,9,5,13,31
multiplication3TableAL,2,3,3,1,2,5,1,1,3,2,6,11
division4TableAL,1,2,2,1,2,10,0,0,0,1,4,12
stackLivingAndNonLivingThingsAL,1,1,1,0,0,0,0,0,0,1,1,1

