# ----------------------------------------
# gd-math-71c48
# New-Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals
,type,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount
,,1107,7154,7154,0,5.1399217221135025,744,4674,23144,60.30701754385965,5.076166024818143,597,1311,3117,45.81922196796339,5.254004576659039,1107,13139,33415,26.02511606667174,5.12862470507649,Grand total
simpleIdentificationVegetablesSet2AL,training,448,1016,1016,0,5,332,554,2770,57.518050541516246,5,164,267,635,39.58426966292135,5,448,1837,4421,23.09961894393032,5
simpleIdentificationVegetablesSet2AL,speedrun,332,554,554,0,5,272,400,1882,47.59,5,53,66,190,27.53030303030303,5,332,1020,2626,20.444117647058825,5
simpleIdentificationToysSet22AL,training,259,368,368,0,5,205,258,1290,51.06201550387597,5,50,51,140,42.333333333333336,5,259,677,1798,22.648449039881832,5
simpleIdentificationToysSet22AL,speedrun,205,258,258,0,5,183,223,1021,37.690582959641254,5,15,15,32,14.4,5,205,496,1311,17.381048387096776,5
stackVegetablesAndFruitsOverall2AL,training,170,451,451,0,5,124,229,1145,77.95196506550218,5,81,145,296,32.765517241379314,5,170,825,1892,27.396363636363635,5
stackColorTilesSet1And22AL,training,163,192,192,0,5,130,145,725,59.91724137931035,5,27,28,77,61.464285714285715,5,163,365,994,28.517808219178082,5
matchNumberCount1to72AL,training,134,336,336,0,5,82,133,665,105.15789473684211,5,58,104,251,66.97115384615384,5,134,573,1252,36.56369982547993,5
stackColorTilesSet1And22AL,speedrun,130,145,145,0,5,118,127,610,48.818897637795274,5,6,6,19,27,5,130,278,774,22.884892086330936,5
stackVegetablesAndFruitsOverall2AL,speedrun,124,225,225,0,5,106,173,804,50.63583815028902,5,22,26,67,25.46153846153846,5,124,424,1096,22.221698113207548,5
matchObjectWithFraction1AL,training,118,274,274,0,6,72,126,756,70.0079365079365,6,47,89,202,27.98876404494382,6,118,489,1232,23.132924335378323,6
stackMultiStick1To52AL,training,103,164,164,0,5,97,140,700,52.878571428571426,5,8,11,36,62.63636363636363,5,103,315,900,25.68888888888889,5
matchObjectSetFirst2AL,training,111,121,121,0,5,82,85,425,46.92941176470588,5,13,13,37,23.46153846153846,5,111,219,583,19.60730593607306,5
stackMultiStick1To52AL,speedrun,97,143,143,0,5,87,117,544,40.085470085470085,5,9,13,42,29.307692307692307,5,97,273,729,18.575091575091577,5
orderUpToSevenNumber2AL,training,77,199,199,0,5,67,124,620,55.74193548387097,5,26,42,71,92.33333333333333,5,77,365,890,29.561643835616437,5
