# ----------------------------------------
# gd-math-71c48
# Free-form-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals
Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals
levelID,Total users,duration,avgDuration,boardCount,boardIndex,Total users,duration,avgDuration,boardCount,boardIndex,Total users,duration,avgDuration,boardCount,boardIndex,Total users,duration,avgDuration,boardCount,boardIndex
,1155,0,0,55277,9529,778,374107,60.55471026222078,34403,32385,654,87213,48.5055617352614,11198,4564,1155,461320,26.353613253356183,100878,46478,Grand total
simpleIdentificationVegetablesSet2AL,448,0,0,7850,1570,332,50901,53.355345911949684,4770,4652,192,12386,37.1951951951952,1665,825,448,63287,22.151557577878894,14285,7047
simpleIdentificationToysSet22AL,259,0,0,3130,626,205,21579,44.86278586278586,2405,2311,63,2375,35.984848484848484,330,172,259,23954,20.421142369991475,5865,3109
stackVegetablesAndFruitsOverall2AL,170,0,0,3380,676,124,26611,66.19651741293532,2010,1949,90,5413,31.65497076023392,855,363,170,32024,25.639711769415534,6245,2988
stackColorTilesSet1And22AL,163,0,0,1685,337,130,14888,54.73529411764706,1360,1335,32,1883,55.38235294117647,170,96,163,16771,26.082426127527217,3215,1768
matchNumberCount1to72AL,134,0,0,2345,469,82,21759,93.78879310344827,1160,1135,61,7318,63.63478260869565,575,281,134,29077,35.63357843137255,4080,1885
mergeExample,133,0,0,142,142,133,790,5.766423357664234,137,137,4,11,2.2,5,5,133,801,2.8204225352112675,284,284
introLevelStack,134,0,0,145,145,133,788,5.549295774647887,142,142,0,0,0,0,0,134,788,2.745644599303136,287,287
matchObjectWithFraction1AL,118,0,0,2400,400,72,13038,59.80733944954128,1308,1301,49,3014,28.433962264150942,636,259,118,16052,22.171270718232044,4344,1960
stackMultiStick1To52AL,103,0,0,1535,307,97,12093,47.054474708171206,1285,1244,14,1070,44.583333333333336,120,78,103,13163,22.38605442176871,2940,1629
matchObjectSetFirst2AL,111,0,0,1040,208,82,7300,44.51219512195122,820,800,16,373,23.3125,80,43,111,7673,19.77577319587629,1940,1051
orderUpToSevenNumber2AL,77,0,0,1615,323,67,10441,47.89449541284404,1090,1081,32,4249,72.01694915254237,295,110,77,14690,24.483333333333334,3000,1514
simpleIdentificationAnimalsSet1And22AL,85,0,0,995,199,75,7352,42.49710982658959,865,845,9,295,32.77777777777778,45,21,85,7647,20.070866141732285,1905,1065
stackingDifferentPairsOfSameValue202AL,76,0,0,1445,289,47,11072,71.8961038961039,770,735,36,3840,55.65217391304348,345,125,76,14912,29.125,2560,1149
stackUtensilsVehicles2AL,65,0,0,700,140,54,6401,55.66086956521739,575,554,12,504,36,70,42,65,6905,25.66914498141264,1345,736
stackMultiStickInMultiSlot1To52AL,63,0,0,665,133,36,11184,162.08695652173913,345,328,25,2096,72.27586206896552,145,77,63,13280,57.489177489177486,1155,538
simpleIdentificationFruitsSet1,57,0,0,1690,169,42,6384,63.84,1000,869,24,1458,42.88235294117647,340,108,57,7842,25.88118811881188,3030,1146
matchActivitiesWithObject2AL,61,0,0,1490,149,25,5950,123.95833333333333,480,463,27,2818,55.254901960784316,510,202,61,8768,35.354838709677416,2480,814
mergeNumberUpTo9WithBAsTwoAL,51,0,0,484,121,27,6178,102.96666666666667,240,226,26,4394,109.85,160,70,51,10572,47.83710407239819,884,417
simpleIdentifyApparelAndStationery2AL,47,0,0,450,90,38,2927,38.51315789473684,380,376,9,302,33.55555555555556,45,25,47,3229,18.451428571428572,875,491
fractionMultiplication6AL,49,0,0,792,132,30,5835,71.15853658536585,492,487,12,570,22.8,150,51,49,6405,26.799163179916317,1434,670
smallBigFrom1To99NumbersAL,44,0,0,595,119,20,3777,69.94444444444444,270,266,23,994,29.235294117647058,170,61,44,4771,23.04830917874396,1035,446
subtractionMissingAUpTo20AL,38,0,0,500,100,27,6412,87.83561643835617,365,353,7,360,45,40,13,38,6772,37.41436464088398,905,466
sortRedGreenYellowWhiteBlackGray2AL,32,0,0,305,61,27,2273,43.71153846153846,260,253,3,255,85,15,12,32,2528,21.79310344827586,580,326
introducingStackingInSlot,31,0,0,51,51,29,199,4.061224489795919,49,49,1,21,21,1,1,31,220,2.1782178217821784,101,101
writeLevelSimpleLine,26,0,0,490,49,17,764,25.466666666666665,300,224,9,574,41,140,68,26,1338,14.387096774193548,930,341
writeLevelSimpleLine2AL,25,0,0,250,50,22,1065,25.975609756097562,205,205,5,107,15.285714285714286,35,16,25,1172,11.959183673469388,490,271
numbersFrom500To999AL,30,0,0,300,60,5,995,90.45454545454545,55,54,14,1981,70.75,140,46,30,2976,30.060606060606062,495,160
matrixMultiplicationRandomNumbers3AL,26,0,0,255,51,12,4605,143.90625,160,160,10,993,99.3,50,25,26,5598,60.193548387096776,465,236
matchShapesByObjects2AL,24,0,0,225,45,21,2792,68.09756097560975,205,201,2,112,56,10,6,24,2904,33,440,252
simpleIdentificationFruitsSet3,24,0,0,560,56,16,2728,73.72972972972973,370,311,7,299,37.375,80,23,24,3027,29.97029702970297,1010,390
summarizeTheSentences1AL,24,0,0,316,79,13,2454,55.77272727272727,176,176,10,551,32.411764705882355,68,24,24,3005,21.464285714285715,560,279
dataHandlingIconsBirdsAnimals2AL,23,0,0,177,59,20,1767,32.72222222222222,162,159,3,61,20.333333333333332,9,4,23,1828,15.758620689655173,348,222
matchBasicShapeTiles,21,0,0,550,55,12,4351,150.0344827586207,290,242,10,558,50.72727272727273,110,44,21,4909,51.67368421052632,950,341
simpleIdentificationVegetablesSet1,20,0,0,540,54,18,3182,88.38888888888889,360,341,5,612,61.2,100,51,20,3794,37.94,1000,446
matchAudioByColorSet1,23,0,0,550,55,9,1911,119.4375,160,149,10,790,35.90909090909091,220,47,23,2701,29.043010752688172,930,251
simpleIdentificationFoodOverall,21,0,0,490,49,17,1676,42.97435897435897,390,307,4,215,53.75,40,25,21,1891,20.554347826086957,920,381
matchIntroOne,20,0,0,25,25,20,128,5.818181818181818,22,22,1,8,4,2,2,20,136,2.7755102040816326,49,49
missingBRandomAAndB50To99AL,17,0,0,200,40,16,1738,59.93103448275862,145,145,5,182,30.333333333333332,30,18,17,1920,25.6,375,203
writeLevel1To52AL,19,0,0,185,37,18,1743,51.26470588235294,170,170,1,21,21,5,5,19,1764,24.5,360,212
stackTensAndOnes20UpTo502AL,17,0,0,215,43,16,4250,118.05555555555556,180,175,0,0,0,0,0,17,4250,53.79746835443038,395,218
matchMusicalInstrumentsIndian,15,0,0,370,37,10,1114,55.7,200,169,7,380,31.666666666666668,120,38,15,1494,21.652173913043477,690,244
stackDomesticAndWildAnimal,17,0,0,270,27,8,2153,143.53333333333333,150,145,7,351,43.875,80,19,17,2504,50.08,500,191
matchCountNumber1To3,15,0,0,300,30,6,2548,169.86666666666667,150,107,10,832,69.33333333333333,120,35,15,3380,59.29824561403509,570,172
matchAudioByColorSet3And4,16,0,0,340,34,9,1369,76.05555555555556,180,156,4,511,73,70,21,16,1880,31.864406779661017,590,211
patternBasicFruits,14,0,0,280,28,3,525,87.5,60,55,11,807,57.642857142857146,140,60,14,1332,27.75,480,143
introPatternExample,12,0,0,15,15,11,223,18.583333333333332,12,12,2,9,4.5,2,2,12,232,8,29,29
matchCountAudio7To9,12,0,0,198,33,8,2196,99.81818181818181,132,99,5,280,56,30,14,12,2476,41.266666666666666,360,146
smallBigUpTo50Number2AL,13,0,0,155,31,11,1616,59.851851851851855,135,132,1,60,60,5,4,13,1676,28.406779661016948,295,167
stackVegetablesAndFruitsSet1,12,0,0,310,31,7,3211,178.38888888888889,180,153,6,278,34.75,80,19,12,3489,61.21052631578947,570,203
matchTopBottomFirst,11,0,0,190,19,4,730,104.28571428571429,70,65,9,168,16.8,100,27,11,898,24.944444444444443,360,111
matchEdgesCorners22AL,11,0,0,120,24,11,1409,61.26086956521739,115,109,1,84,84,5,5,11,1493,31.104166666666668,240,138
sortMusicalInstruments,14,0,0,300,30,5,1044,80.3076923076923,130,102,4,78,15.6,50,12,14,1122,23.375,480,144
moneyComposition1And2ForNumbers,10,0,0,112,28,6,1755,103.23529411764706,68,59,5,475,67.85714285714286,28,13,10,2230,42.88461538461539,208,100
dataHandlingMatchCountGroupedFruits,10,0,0,150,15,4,440,55,80,64,6,294,42,70,13,10,734,24.466666666666665,300,92
fillSubtractionStaticB3UpTo52AL,10,0,0,60,20,8,563,31.27777777777778,54,54,1,23,23,3,1,10,586,15.025641025641026,117,75
placeValueMatrix1AL,10,0,0,124,31,8,1406,56.24,100,100,1,18,18,4,1,10,1424,24.982456140350877,228,132
recognizingBigSmallWithAudio,10,0,0,150,15,4,441,63,70,61,5,189,37.8,50,18,10,630,23.333333333333332,270,94
reviseDivideTable8And9AL,9,0,0,210,21,8,1567,92.17647058823529,170,170,2,95,47.5,20,4,9,1662,41.55,400,195
stackRectangleAndTriangle,10,0,0,280,28,7,1933,128.86666666666667,150,129,2,142,71,20,11,10,2075,46.111111111111114,450,168
givenSmartChartScale6AL,9,0,0,102,17,5,789,78.9,60,60,4,945,189,30,8,9,1734,54.1875,192,85
groupAdditionOf5AL,9,0,0,90,18,8,1301,86.73333333333333,75,73,1,19,19,5,2,9,1320,38.8235294117647,170,93
matchColorTilesOne,9,0,0,170,17,3,875,87.5,100,73,6,133,22.166666666666668,60,17,9,1008,30.545454545454547,330,107
matchCornersOfObjects,9,0,0,350,35,6,1283,47.51851851851852,270,206,3,243,81,30,12,9,1526,23.476923076923075,650,253
patternBasicFoods2AL,9,0,0,95,19,8,1065,62.64705882352941,85,85,1,9,9,5,2,9,1074,29.027027027027028,185,106
reviseMatchLinesWithObject,9,0,0,160,16,5,1041,115.66666666666667,90,86,4,343,85.75,40,8,9,1384,47.724137931034484,290,110
maskPattern,8,0,0,300,30,5,1519,60.76,250,218,4,190,47.5,40,11,8,1709,28.966101694915253,590,259
simpleIdentificationAnimalsOverall,8,0,0,240,24,8,1158,77.2,150,145,1,63,31.5,20,4,8,1221,29.78048780487805,410,173
simpleIdentificationAnimalsSet3,8,0,0,180,18,5,818,81.8,100,93,4,476,95.2,50,28,8,1294,39.21212121212121,330,139
matchMirrorImage,8,0,0,140,14,6,420,35,120,92,2,60,30,20,5,8,480,17.142857142857142,280,111
sortingIntroducedCategories,8,0,0,220,22,7,1111,74.06666666666666,150,142,1,1,1,10,1,8,1112,29.263157894736842,380,165
countWithSingleStick1To3,8,0,0,90,15,3,579,82.71428571428571,42,36,4,171,34.2,30,10,8,750,27.77777777777778,162,61
cowBananaTable4AL,8,0,0,70,14,6,531,44.25,60,60,1,7,7,5,2,8,538,19.925925925925927,135,76
numberDiceMatching2AL,8,0,0,68,14,6,495,41.25,58,58,1,15,15,5,2,8,510,18.88888888888889,131,74
simpleIdentificationVegetablesSet3,8,0,0,140,14,5,965,96.5,100,96,2,112,56,20,14,8,1077,41.42307692307692,260,124
sortBirdsAndAnimalsInsectsAquatic,7,0,0,220,22,5,1826,152.16666666666666,120,112,3,313,62.6,50,19,7,2139,54.84615384615385,390,153
orderUpToThreeNumber,7,0,0,102,17,5,528,44,72,59,2,58,19.333333333333332,18,7,7,586,18.3125,192,83
simpleIdentificationOfLines,7,0,0,150,15,6,1396,139.6,100,99,1,340,170,20,6,7,1736,64.29629629629629,270,120
patternWithEmptyAndFilledShapes,7,0,0,72,12,4,615,76.875,48,46,2,266,133,12,11,7,881,40.04545454545455,132,69
simpleIdentificationToysOverall,6,0,0,150,15,6,672,48,140,112,1,105,105,10,3,6,777,25.9,300,130
