# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals
Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals
levelID,Total users,avgDuration,successRate,wrongMoves,Total users,avgDuration,successRate,wrongMoves,Total users,avgDuration,successRate,wrongMoves,Total users,avgDuration,successRate,wrongMoves
,1155,0,0,0,778,60.55471026222078,0.8275507186372508,14578,654,48.5055617352614,0.6731755601547736,3632,1155,26.353613253356183,0.8096144195383072,18210,Grand total
simpleIdentificationVegetablesSet2AL,448,0,0,0,332,53.355345911949684,0.8744510215772389,1315,192,37.1951951951952,0.8138424821002387,234,448,22.151557577878894,0.8679566959338505,1549
simpleIdentificationToysSet22AL,259,0,0,0,205,44.86278586278586,0.9241280848460126,372,63,35.984848484848484,0.912,22,259,20.421142369991475,0.9235396856200272,394
stackVegetablesAndFruitsOverall2AL,170,0,0,0,124,66.19651741293532,0.7355031799476244,1414,90,31.65497076023392,0.6124620060790273,255,170,25.639711769415534,0.722018654230513,1669
stackColorTilesSet1And22AL,163,0,0,0,130,54.73529411764706,0.8559722659943272,457,32,55.38235294117647,0.8,34,163,26.082426127527217,0.8531259347891116,491
matchNumberCount1to72AL,134,0,0,0,82,93.78879310344827,0.8462701612903226,610,61,63.63478260869565,0.783410138248848,141,134,35.63357843137255,0.8374106949556182,751
mergeExample,133,0,0,0,133,5.766423357664234,1,0,4,2.2,0,0,133,2.8204225352112675,1,0
introLevelStack,134,0,0,0,133,5.549295774647887,0.8878504672897196,24,0,0,0,0,134,2.745644599303136,0.8878504672897196,24
matchObjectWithFraction1AL,118,0,0,0,72,59.80733944954128,0.8253512132822478,547,49,28.433962264150942,0.7266514806378133,120,118,22.171270718232044,0.8132175861103332,667
stackMultiStick1To52AL,103,0,0,0,97,47.054474708171206,0.8382849426063471,479,14,44.583333333333336,0.7341040462427746,46,103,22.38605442176871,0.8325358851674641,525
matchObjectSetFirst2AL,111,0,0,0,82,44.51219512195122,0.9359810314167161,108,16,23.3125,0.875,8,111,19.77577319587629,0.9337521416333524,116
orderUpToSevenNumber2AL,77,0,0,0,67,47.89449541284404,0.8503721112416764,382,32,72.01694915254237,0.75,35,77,24.483333333333334,0.8451541032305978,417
simpleIdentificationAnimalsSet1And22AL,85,0,0,0,75,42.49710982658959,0.9286908077994429,128,9,32.77777777777778,0.7027027027027027,11,85,20.070866141732285,0.9241266375545851,139
