# ----------------------------------------
# gd-math-71c48
# Free-form-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Totals
,Event name,segmentStarted,segmentCompleted,segmentDropped,Totals
,type,assessment,assessment,assessment,Totals
currentSkillAge,segment,Total users,Total users,Total users,Total users
,,1107,744,597,1107,Grand total
2 Y,training,609,453,286,609
2 Y,speedrun,453,375,109,453
3 Y,training,137,84,70,137
4 Y,training,109,70,62,109
10 Y,training,107,65,51,107
3 Y,speedrun,84,68,15,84
5 Y,training,76,47,37,76
4 Y,speedrun,70,55,21,70
10 Y,speedrun,65,49,15,65
5 Y,speedrun,47,39,5,47
6 Y,training,45,20,23,45
7 Y,training,30,6,14,30
6 Y,speedrun,20,18,8,20
8 Y,training,23,13,10,23
8 Y,speedrun,13,12,1,13
9 Y,training,8,6,3,8
7 Y,speedrun,6,6,1,6
9 Y,speedrun,6,5,1,6

