# ----------------------------------------
# gd-math-71c48
# New Drops Impacts Study Using Copiolot-Free-form 1
# 20251020-20260311
# ----------------------------------------

App version,WAU/MAU,DAU/WAU,User engagement,Returning users,Engaged sessions,Engagement rate,Active users
,6.317222207561842,1.6592088495952784,2892237,3688,15120,0.7610610560225499,7506,Grand total
v4.3.15,0.2652424596544431,0.07966792892513837,672512,1118,4226,0.7779823269513991,2188
v4.3.12,0.2633856346781028,0.07741432262467704,568230,827,3095,0.7807769929364279,1588
v4.3.19,0.32540215978850207,0.08652345543009272,488222,923,3192,0.7802493277927157,1885
v4.3.7,0.2603175131465087,0.07805408169788404,405918,640,2371,0.8075613079019074,1221
v4.3.5,0.1939469370408597,0.06479887306307716,118264,267,751,0.755533199195171,414
v4.3.13,0.30631152287203245,0.05671077504725898,109686,23,113,0.889763779527559,30
v4.3.21,0.8486497801967762,0.13788850518006907,108838,236,765,0.7830092118730808,559
v4.3.16,0.34133042529989094,0.054313099041533544,68344,10,64,0.8311688311688312,17
v4.3.2,0.09293764087152517,0.07033144704931285,65820,159,322,0.5485519591141397,174
v4.3.20,0.36877523553162855,0.07664233576642336,45239,12,56,0.8615384615384616,21
v4.3.22,0.6768558951965066,0.1032258064516129,44763,8,29,0.90625,16
v4.3.18,0.2451708766716196,0.09696969696969697,44536,10,23,0.8518518518518519,16
v4.3.9,0.29256594724220625,0.06147540983606557,40650,12,52,0.7761194029850746,15
v4.3.11,0.33815028901734107,0.0641025641025641,32526,10,53,0.8688524590163934,15
v4.3.0,0.22534500168293503,0.070201643017177,32054,87,202,0.5287958115183246,94
v4.3.14,0.23714759535655058,0.09090909090909091,22880,8,22,0.7096774193548387,13
v4.3.6,0.13220338983050847,0.038461538461538464,9725,3,12,0.8571428571428571,3
v4.3.8,0.22797202797202798,0.06748466257668712,7454,10,16,0.7619047619047619,11
v4.3.4,0.20884520884520885,0.023529411764705882,5021,2,12,0.7058823529411765,2
v4.3.10,0.23333333333333334,0.11764705882352941,1373,3,12,0.6666666666666666,14
v4.3.17,0.23333333333333334,0.14285714285714285,182,0,3,0.6,5

